NO;GENDER;HEIGHT;WEIGHT;HEIGHT.F
1;M;184;82;185
2;M;186;83;180
3;M;186;88;182
4;M;179;74;177
5;M;175;68;175
6;M;181;79;176
7;M;187;80;179
8;M;174;85;172
9;M;179;81;182
10;M;175;78;174
11;M;166;73;169
12;M;179;76;180
13;M;181;86;174
14;M;179;74;173
15;M;176;74;176
16;M;186;74;184
17;M;175;81;172
18;M;170;61;166
19;M;182;83;183
20;M;177;85;176
21;M;182;73;178
22;M;174;79;168
23;M;172;77;166
24;M;164;67;166
25;M;173;73;170
26;M;181;72;176
27;M;175;72;175
28;M;174;77;170
29;M;175;69;178
30;M;183;81;184
31;M;188;79;184
32;M;179;87;169
33;M;180;84;178
34;M;174;72;171
35;M;179;69;170
36;M;177;74;172
37;M;170;69;164
38;M;181;76;181
39;M;182;72;178
40;M;175;71;169
41;M;182;82;179
42;M;185;78;185
43;M;190;91;184
44;M;179;69;177
45;M;177;79;177
46;M;176;70;171
47;M;189;83;182
48;M;177;79;169
49;M;178;78;165
50;M;172;65;167
51;M;175;70;170
52;M;172;72;164
53;M;179;76;175
54;M;173;70;168
55;M;173;71;175
56;M;181;79;181
57;M;171;72;175
58;M;170;71;164
59;M;182;82;175
60;M;190;91;186
61;M;185;79;180
62;M;181;74;176
63;M;180;69;172
64;M;174;65;166
65;M;182;75;180
66;M;171;74;177
67;M;178;81;179
68;M;181;77;177
69;M;179;86;174
70;M;174;82;174
71;M;176;78;174
72;M;173;79;163
73;M;183;81;173
74;M;171;64;168
75;M;178;65;168
76;M;176;78;171
77;M;176;67;173
78;M;174;65;168
79;M;185;81;186
80;M;171;74;165
81;M;183;87;175
82;M;167;64;164
83;M;178;85;177
84;M;175;76;172
85;M;175;79;175
86;M;182;81;174
87;M;175;65;172
88;M;179;85;172
89;M;178;81;176
90;M;180;68;178
91;M;175;86;179
92;M;180;82;174
93;M;175;75;171
94;M;180;87;173
95;M;165;65;165
96;M;175;72;172
97;M;175;66;175
98;M;185;80;190
99;M;170;72;165
100;M;175;85;176
101;M;185;83;175
102;M;180;96;173
103;M;170;62;176
104;M;180;79;176
105;M;180;76;173
106;M;175;75;178
107;M;175;88;182
108;M;180;69;178
109;M;180;87;172
110;M;175;73;171
111;M;175;61;172
112;M;175;75;175
113;M;170;74;164
114;M;185;73;186
115;M;180;84;174
116;M;170;73;160
117;M;180;84;177
118;M;175;81;170
119;M;170;70;161
120;F;159;67;176
121;F;154;48;177
122;F;171;76;184
123;F;158;65;167
124;F;162;59;174
125;F;161;62;179
126;F;167;71;176
127;F;154;62;164
128;F;155;63;175
129;F;155;54;163
130;F;169;64;174
131;F;165;61;178
132;F;164;64;177
133;F;163;66;180
134;F;165;75;177
135;F;162;70;175
136;F;166;75;175
137;F;149;54;162
138;F;155;62;167
139;F;154;60;171
140;F;158;66;166
141;F;166;64;179
142;F;160;61;175
143;F;165;73;178
144;F;166;77;173
145;F;160;67;173
146;F;164;69;172
147;F;162;72;183
148;F;159;62;184
149;F;158;63;171
150;F;168;65;181
151;F;164;73;173
152;F;156;60;169
153;F;163;58;175
154;F;175;82;182
155;F;169;64;190
156;F;163;69;175
157;F;172;80;184
158;F;166;47;176
159;F;164;69;177
160;F;166;67;180
161;F;167;64;183
162;F;166;70;179
163;F;164;64;176
164;F;166;70;172
165;F;159;62;173
166;F;166;68;179
167;F;159;65;170
168;F;169;72;185
169;F;160;68;172
170;F;154;58;170
171;F;159;60;170
172;F;162;68;172
173;F;162;67;174
174;F;163;71;180
175;F;164;76;178
176;F;164;66;181
177;F;158;65;175
178;F;152;57;169
179;F;161;65;174
180;F;164;74;182
181;F;166;67;175
182;F;167;61;179
183;F;155;50;173
184;F;159;70;175
185;F;152;63;160
186;F;164;75;174
187;F;166;71;181
188;F;162;54;179
189;F;171;71;179
190;F;169;77;185
191;F;164;64;187
192;F;172;78;184
193;F;163;77;177
194;F;157;58;178
195;F;163;61;183
196;F;162;71;173
197;F;165;71;175
198;F;160;64;180
199;F;156;58;173
200;F;157;66;175
201;F;167;75;175
202;F;159;72;178
203;F;161;74;179
204;F;163;73;168
205;F;160;66;174
206;F;155;61;179
207;F;154;63;171
208;F;167;61;180
209;F;171;68;185
210;F;164;69;178
211;F;155;65;172
212;F;163;63;176
213;F;160;48;180
214;F;161;68;170
215;F;170;74;178
216;F;160;61;181
217;F;160;73;169
218;F;166;72;168
219;F;170;74;184
220;F;157;61;165
221;F;166;67;181
222;F;158;63;174
223;F;161;60;183
224;F;160;57;178
225;F;163;66;169
226;F;166;78;179
227;F;146;55;163
228;F;160;76;173
229;F;162;66;170
230;F;153;68;174
231;F;157;66;167
232;F;168;71;178
233;F;153;60;166
234;F;151;64;172
235;F;160;58;174
236;F;153;57;160
237;F;165;58;179
238;F;158;63;170
239;F;160;68;187
240;F;166;72;179
241;F;170;76;185
242;F;160;60;181
243;F;165;74;175
244;F;155;53;173
245;F;160;68;170
246;F;160;54;175
247;F;160;63;173
248;F;155;64;176
249;F;160;55;170
250;F;160;65;172
251;F;155;57;167
252;F;165;68;174
253;F;165;69;181
254;F;160;66;172
255;F;155;74;177
256;F;160;63;176
257;F;165;70;184
258;F;165;74;173
259;F;160;73;179
260;F;150;53;166
261;F;170;70;187
262;F;170;71;181
263;F;170;68;185
264;F;155;70;175
265;F;160;56;171
266;F;160;57;178
267;F;160;48;172
268;F;165;87;174
269;F;165;63;184
270;F;165;72;179
